srb044,Sybyl Jocic,11/12/1991,SRB,186,L
cro040,Galven Kuhnel,28/7/1999,CRO,209,L
sui034,Roarke Bernardez,1/2/2001,SUI,173,L
cro041,Leta Cuseick,2/9/2000,CRO,201,L
egy036,Waite Haws,12/8/1993,EGY,209,L
col045,Filippo Liquorish,3/5/1993,COL,198,L
eng080,Bobbe Stearn,27/1/2002,ENG,193,R
fra055,Bertram Armatidge,11/10/1995,FRA,190,L
esp056,Christie Stonhard,20/5/2002,ESP,184,R
fra056,Tish Fontel,30/7/1999,FRA,186,R
mne037,Lara Gasnell,21/8/2002,MNE,197,R
esp057,Sigismond Trattles,22/7/1999,ESP,176,R
cmr049,Jermaine Hamblington,16/11/1993,CMR,199,R
tur039,Ainslie Silverlock,31/12/1995,TUR,199,R
esp058,Brander Whetland,4/9/1999,ESP,180,R
nor046,Roland Orgee,17/5/1997,NOR,194,L
uru038,Tawnya Kettlesting,20/4/1998,URU,187,L
srb045,Theresita Mawson,13/5/2001,SRB,171,L
chi040,Joaquin Clarage,19/8/1997,CHI,191,L
hun033,Bartholomeus Burgett,30/6/2004,HUN,203,R
hun034,Onfroi McKevitt,23/11/2003,HUN,187,R
ned043,Sisile Caville,11/6/2002,NED,200,L
arg041,Roxine Bonaire,3/8/1994,ARG,191,L
hun035,Ravi Shelly,23/12/1994,HUN,198,L
bel042,Dredi Gritsunov,13/3/1999,BEL,202,R
nor047,Joline Wassung,24/11/1999,NOR,174,R
gha041,Yurik Conaghy,10/9/2004,GHA,171,L
mne038,Hamish Greated,17/12/1994,MNE,201,R
chi041,Korey Doud,2/5/1998,CHI,192,R
hun036,Pearle Onraet,20/2/2000,HUN,203,L
mar039,Tamas Venneur,28/5/1996,MAR,200,R
bra052,Astrid Mold,9/9/1990,BRA,177,R
swe035,Pepito Maytom,3/1/2003,SWE,175,L
srb046,Suzette Dunstall,13/6/1995,SRB,188,R
wal037,Rasia Shuttlewood,2/5/1993,WAL,177,R
bel043,Stephannie O'Mannion,1/3/1999,BEL,188,L
mne039,Thaddus Drewell,9/8/1993,MNE,190,R
uru039,Salomone Sweetlove,9/3/1992,URU,196,L
bra053,Wilhelmina Starling,5/10/1996,BRA,175,L
ita040,Arron Nevison,24/6/2003,ITA,201,R
aut043,Frans Kondrachenko,25/7/1990,AUT,210,L
sui035,Jonathan MacCarter,29/4/2003,SUI,194,R
ecu040,Nedda Fear,26/7/1998,ECU,180,R
sco043,Valentine Grunnill,29/9/2001,SCO,203,R
egy037,Nicoli Thowes,24/10/1997,EGY,195,R
uru040,Melony Frondt,28/9/2002,URU,201,R
ita041,Svend Crayden,24/5/2003,ITA,185,L
cmr050,Katusha Pedrazzi,2/5/2000,CMR,188,R
bel044,Rosabelle Hellmer,23/3/1991,BEL,191,L
bel045,Phillis Orris,15/1/1991,BEL,197,L
fra057,Lexi Zorzi,20/8/2001,FRA,195,R
sco044,Brnaby Esslement,8/3/1991,SCO,185,L
nor048,Sarine Kynoch,25/9/1997,NOR,207,L
mne040,Rustie Abbet,27/10/2004,MNE,175,R
sco045,Caddric Charle,15/8/1994,SCO,187,R
mar040,Yardley Fickling,15/4/1996,MAR,208,R
arg042,Alexina Cambden,7/2/2002,ARG,172,L
kor032,Nickie McBrearty,24/10/1990,KOR,209,L
wal038,Chuck Siddele,27/6/2004,WAL,171,R
nor049,Evania Shailer,17/2/1993,NOR,186,R
fra058,Ulrika Erskin,17/7/1997,FRA,188,R
fra059,Anallise Bonaire,30/6/1999,FRA,188,L
col046,Tremayne Stirton,11/3/1998,COL,191,L
ita042,Liza Bowery,5/1/1993,ITA,185,R
bel046,Ingrid Smitton,12/1/1992,BEL,205,L
nor050,Penny Scrine,16/8/1999,NOR,188,L
ita043,Estrellita Houlaghan,8/9/1990,ITA,208,L
nor051,Lurleen Pembery,31/12/1990,NOR,201,L
slo038,Olva Dooney,9/11/1996,SLO,178,R
jap047,Vida Weeke,6/7/1997,JAP,196,R
jap048,Nappy Jaycocks,4/11/1998,JAP,172,R
slo039,Franzen Benez,5/10/1996,SLO,207,R
nor052,Tremain Chartman,24/8/1995,NOR,179,R
sco046,Pip Trillo,3/7/2001,SCO,170,R
den040,Blake Jeal,13/10/1993,DEN,204,R
egy038,Em Lehon,1/3/2000,EGY,174,L
bel047,Kaleena Leavesley,19/7/1996,BEL,202,L
jap049,Willy Ciani,28/1/2004,JAP,200,R
sen040,Merell Patshull,6/12/1997,SEN,210,R
esp059,Dylan Guerra,29/1/2002,ESP,202,L
sen041,Kenton Widd,17/11/2004,SEN,209,L
ukr046,Dyan Collen,3/1/1990,UKR,183,L
wal039,Jocelyn Belhomme,2/3/2003,WAL,189,R
srb047,Meg Simmons,26/3/1993,SRB,209,L
srb048,Arliene Berni,9/8/2004,SRB,185,L
fra060,Carlota Bernat,6/12/1997,FRA,178,R
bra054,Charyl Screase,6/8/1990,BRA,181,R
ukr047,Sayre Cammis,21/10/1995,UKR,182,L
gha042,Shanie Bridat,11/8/2002,GHA,201,L
sen042,Jonas Wasling,17/7/1996,SEN,186,R
jap050,Daria Bisiker,21/1/2003,JAP,196,R
kor033,Derk Tunuy,18/9/1997,KOR,171,R
sui036,Jayne Lecky,20/2/1992,SUI,181,L
srb049,Hannie Vossing,2/6/1995,SRB,187,R
sen043,Elke Hundell,21/9/2000,SEN,177,R
col047,Gretel Dykins,18/1/1991,COL,206,R
srb050,Garrek Gebuhr,5/10/1997,SRB,171,R
aut044,Joyce Benck,16/12/1990,AUT,198,R
eng081,Isabel Gunthorp,2/4/1999,ENG,170,R
den041,Aidan Huyhton,30/1/1999,DEN,202,R
jap051,Milo Vanelli,15/12/1997,JAP,171,L
eng082,Carny Kynd,10/2/1995,ENG,175,R
chi042,Michale Harmer,12/3/1998,CHI,171,L
ita044,Jenelle Spellard,24/8/2001,ITA,177,R
can047,Britt Pales,1/2/2004,CAN,192,L
por044,Gipsy Trustie,25/7/1995,POR,199,R
can048,Leta Hyndley,15/3/1995,CAN,201,R
sco047,Kiah Poulsom,28/10/1994,SCO,200,L
sen044,Leanora Fairnington,18/10/1990,SEN,201,R
fra061,Jeth Kincade,11/12/2000,FRA,204,L
bur051,Aurelia Franceschi,24/4/1992,BUR,207,R
kor034,Mahalia Amphlett,18/6/1997,KOR,191,L
ger073,Alain Gaitone,21/6/2003,GER,207,R
kor035,Genevieve Bascombe,15/6/2000,KOR,191,L
kor036,Waly Rollett,25/5/2003,KOR,190,R
kor037,Nollie Duckit,11/11/1997,KOR,179,R
egy039,Alameda Peppin,29/2/1996,EGY,208,R
swe036,Saidee Dollin,16/1/1992,SWE,183,L
eng083,Hershel Crannach,16/11/1998,ENG,210,R
mne041,Nanci Haker,29/1/2004,MNE,209,R
sen045,Joana Casarini,20/10/2002,SEN,183,R
por045,Gracia Wellesley,1/12/1998,POR,197,L
cmr051,Kev Kohlert,11/10/1995,CMR,173,R
swe037,Derick Keemar,25/2/1991,SWE,193,L
uru041,Micheline Addenbrooke,27/11/1992,URU,205,R
bel048,Aida Nevett,16/2/1993,BEL,204,L
uru042,Nikolaos Brokenshaw,10/1/1998,URU,197,R
hun037,Baily Sibthorpe,12/4/1997,HUN,201,R
cro042,Tillie Booij,29/1/1998,CRO,206,L
cro043,Georgy Critcher,17/1/2003,CRO,174,L
svk047,Beilul Gwilym,9/10/1999,SVK,171,L
den042,Missy Mulles,11/7/2002,DEN,184,L
gha043,Cy Winchester,11/11/1994,GHA,195,L
eng084,Sigfrid Kampshell,1/4/2003,ENG,196,R
sco048,Hillyer Orro,9/9/1991,SCO,192,L
nor053,Allsun Balderston,4/7/1990,NOR,203,R
den043,Marillin covino,4/1/1996,DEN,185,R
can049,Taddeusz Sandwick,8/9/1997,CAN,189,L
aut045,Moyra Whifen,4/6/1991,AUT,177,R
col048,Ofelia Reeveley,12/11/2001,COL,208,R
sco049,Sauncho Robic,11/1/2001,SCO,200,L
uru043,Milzie Kerbey,17/2/2001,URU,198,L
jap052,Pren St Ange,7/7/2004,JAP,197,L
mne042,Nonna Berzen,22/11/1992,MNE,185,L
sui037,Tanner MacTague,9/12/1995,SUI,210,R
bra055,Heriberto Vella,26/10/1993,BRA,207,L
wal040,Alberta Blackmore,18/1/1994,WAL,178,R
ned044,Kira Feldhorn,11/11/1991,NED,198,L
aut046,Renato Nudds,2/7/1991,AUT,193,R
kor038,Gay Ajsik,8/1/1993,KOR,205,R
pol032,Erika Chritchley,28/4/1996,POL,188,R
ecu041,Britney O'Malley,22/6/1999,ECU,177,L
ecu042,Trix Chillistone,27/11/2002,ECU,181,R
fra062,Corabelle Spurrier,17/6/1994,FRA,181,L
cmr052,Aleen Waldie,13/12/2001,CMR,207,R
bel049,Constancia Yannoni,25/2/1996,BEL,188,R
sco050,Gracie Colicot,12/9/1997,SCO,170,R
gha044,Ealasaid Canadas,12/12/1992,GHA,175,R
nor054,Lusa Ruter,24/12/1997,NOR,209,R
arg043,Torey Reame,19/8/1998,ARG,207,R
tur040,Zolly Traviss,30/10/1995,TUR,170,L
egy040,Janot Alekhov,6/3/2000,EGY,187,L
jap053,Vevay Abramovici,17/6/2000,JAP,193,R
ger074,Adolf Kubista,7/7/1992,GER,198,L
sui038,Sharona Piell,13/2/2004,SUI,202,R
eng085,Kathryn Durrand,7/5/1994,ENG,179,R
srb051,Camala Roughley,1/10/2001,SRB,198,R
bel050,Mariquilla Fitchen,18/9/1996,BEL,171,R
can050,Lanita Chesterton,18/3/1992,CAN,184,R
bur052,Catlee Dreghorn,19/4/1997,BUR,175,R
eng086,Merridie Strongitharm,21/5/1997,ENG,183,R
den044,Helenka Rugieri,11/11/2004,DEN,185,R
den045,Anthia Gregoire,5/6/2004,DEN,173,L
egy041,Galven Polfer,6/12/1992,EGY,178,R
jap054,Reba Shewan,12/2/1995,JAP,172,R
jap055,Gracia Lawless,27/4/1993,JAP,203,L
chi043,Josepha Bertwistle,17/7/2002,CHI,190,R
ger075,Goddart Morrant,29/6/1994,GER,202,L
sco051,Sigvard Mattys,16/2/1999,SCO,198,R
egy042,Ly Bampforth,25/6/2003,EGY,198,L
mar041,Doti Rusling,29/8/2002,MAR,209,L
cro044,Sheelah Robben,28/5/1993,CRO,194,R
can051,Thane McKintosh,2/7/1991,CAN,200,R
den046,Etheline Gallehock,24/8/2003,DEN,207,L
swe038,Kass Danielovitch,15/6/1999,SWE,207,L
bel051,Emanuel Beltzner,18/4/1992,BEL,207,R
arg044,Cherrita Berre,27/3/1994,ARG,186,R
chi044,Conway Cerie,10/9/1990,CHI,178,L
cmr053,Mikey Watkiss,27/9/1996,CMR,188,R
pol033,Kippar Doughill,1/7/2002,POL,210,L
eng087,Madelaine Barson,6/4/1994,ENG,191,R
can052,Bessy Brigman,9/2/1996,CAN,206,R
ger076,Hurlee Opdenort,3/6/1996,GER,190,R
svk048,Calida Dearnly,23/6/1997,SVK,180,R
svk049,Farra Edmonston,22/4/1999,SVK,198,L
ger077,Marney MacLeod,15/4/1997,GER,195,R
jap056,Jocelyne Corballis,11/12/1992,JAP,190,R
bur053,Ursa Dearlove,9/4/1991,BUR,170,R
ger078,Candis Pinniger,22/1/1991,GER,190,L
pol034,Lydia Blei,6/1/2001,POL,208,L
nor055,Ruthann O'Flaverty,16/9/2002,NOR,182,R
sco052,Engelbert Goodhay,30/8/1997,SCO,205,R
sen046,Dory Presshaugh,26/3/1993,SEN,185,R
slo040,Linnet Panchin,2/5/1992,SLO,199,R
sen047,Sallie Townsend,20/2/1992,SEN,185,L
slo041,Wallie Laughnan,29/10/1990,SLO,176,L
ned045,Algernon Lackey,6/7/1999,NED,189,R
cmr054,Conni Teers,30/9/1990,CMR,176,R
ecu043,Sampson Hogbourne,1/4/1990,ECU,174,L
swe039,Ed Luttger,17/7/1994,SWE,204,R
arg045,Hagan Humby,20/3/1994,ARG,175,L
pol035,Teri Lettsom,18/11/2001,POL,200,R
arg046,Mickey Arnison,1/12/1994,ARG,190,R
esp060,Odille Garlant,21/10/1994,ESP,186,L
sco053,Farlee Tieraney,3/11/2004,SCO,210,R
srb052,Elspeth Stailey,20/7/1992,SRB,196,L
bel052,Tory Winterflood,17/6/1998,BEL,210,L
slo042,Donni Lambie,18/7/1992,SLO,194,L
tur041,Judah Conduit,2/4/2004,TUR,173,L
gha045,Dilly Padgham,1/5/1999,GHA,193,R
ger079,Craig Organer,14/5/1999,GER,209,L
aut047,Phil McKeighen,13/4/2001,AUT,171,L
egy043,Morten Crow,9/6/1990,EGY,203,L
por046,Chan Baughan,19/3/1990,POR,208,L
bra056,Larisa Hoofe,16/3/2001,BRA,207,L
fra063,Eada Saines,9/10/1993,FRA,205,L
fra064,Johannes Molan,22/11/1994,FRA,188,L
egy044,Fernando Frandsen,19/12/1997,EGY,210,R
gha046,Willard MacGaffey,1/4/1994,GHA,186,R
tur042,Franklyn Yeoland,15/7/1995,TUR,210,R
svk050,Hayden Fish,15/2/2004,SVK,187,L
bel053,Mechelle Eliasson,24/10/1995,BEL,187,L
gha047,Kalle Karet,1/10/1997,GHA,177,R
eng088,Derron Shewring,25/3/2001,ENG,198,R
esp061,Bevin Constance,3/9/1993,ESP,179,R
cro045,Terencio Gadault,14/6/1991,CRO,185,R
can053,Sabra Bigglestone,6/5/1999,CAN,189,L
ita045,Courtnay Hamshaw,8/10/1999,ITA,198,L
nor056,Thorn Drew,21/6/1996,NOR,207,L
cro046,Benedikta Tarborn,19/5/2000,CRO,188,L
sui039,Spike Fackney,16/4/1996,SUI,190,R
ger080,Celeste Browning,31/7/2001,GER,182,R
den047,Ginelle Pudney,12/4/2002,DEN,176,L
swe040,Essy Longmore,23/7/2002,SWE,207,L
chi045,Olenolin Snailham,3/4/1991,CHI,182,R
tur043,Renell Heffron,15/6/1998,TUR,192,R
uru044,Bram Sutty,2/12/2002,URU,210,R
pol036,Gretel Joesbury,8/11/1999,POL,210,L
cmr055,Michelina Iacomi,9/11/1991,CMR,181,L
col049,Iseabal Josskovitz,28/5/1995,COL,196,L
tur044,Crista Normanville,12/8/1999,TUR,179,L
ned046,Vivienne Fahy,19/8/1991,NED,180,R
gha048,Yetta Mityashin,21/5/1990,GHA,195,R
ned047,Buffy McArte,19/7/2002,NED,172,L
aut048,Karia Farleigh,11/2/1995,AUT,176,R
tur045,Michele Scargle,22/10/2001,TUR,191,R
por047,Hastings Danihelka,31/3/2004,POR,179,L
sco054,Camile Guerry,22/8/1997,SCO,186,R
mne043,Tyrus Gronno,17/7/1990,MNE,187,L
ger081,Laurene Blackater,12/7/2000,GER,176,R
sen048,Tiebout Drinkhall,27/7/2004,SEN,203,R
cmr056,Tades Beeres,2/10/1995,CMR,190,R
jap057,Foster Valdes,7/3/1997,JAP,179,R
col050,Erin Whate,18/2/1995,COL,181,L
sco055,Wolfy Wickey,9/3/2001,SCO,207,R
eng089,Ermanno Chevers,20/1/2000,ENG,186,R
kor039,Nelson Luigi,26/8/2001,KOR,203,L
hun038,Stephanie Shouler,6/6/2001,HUN,180,R
eng090,Maire Rossoni,5/6/1994,ENG,202,L
fra065,Georgeta Skyppe,29/1/1992,FRA,181,R
bel054,Ramona Turban,5/11/1995,BEL,205,R
bra057,Bernie Prawle,2/3/2004,BRA,209,L
tur046,Mort Stonman,19/12/1994,TUR,200,L
ned048,Ignacio Musk,30/1/1998,NED,195,R
ned049,Morgan Triplet,11/11/1992,NED,209,R
mar042,Thedrick Wakley,14/2/2001,MAR,194,R
srb053,Cordula Jerrome,25/12/2002,SRB,175,R
mar043,Letitia Scarth,14/9/1997,MAR,180,L
col051,Tracie Cartmell,14/10/1990,COL,189,L
aut049,Lancelot Kytley,13/3/1991,AUT,182,L
cmr057,Cordelie Boon,22/5/1995,CMR,184,R
por048,Sharlene Aubin,11/3/1994,POR,188,L
ned050,Huntley Hugh,18/7/1996,NED,184,L
uru045,Pauli Crystal,10/4/1991,URU,176,L
chi046,Lurleen Moodey,7/10/2000,CHI,176,R
gha049,Maia Maseres,7/2/1992,GHA,181,R
egy045,Suzi Wickins,16/12/1993,EGY,176,L
bur054,Budd MacFadzan,4/1/1995,BUR,198,R
swe041,Naomi Heinlein,30/12/2000,SWE,180,L
ger082,Ainslee Scarrisbrick,19/5/1991,GER,192,L
ecu044,Araldo Lemery,13/11/2004,ECU,206,R
ukr048,Marrissa Crompton,26/5/1999,UKR,194,L
kor040,Belva Tift,14/4/1991,KOR,186,L
svk051,Link Fritzer,12/11/2001,SVK,192,L
wal041,Gunar O'Cullinane,14/2/1996,WAL,191,R
srb054,Kristien Pitkeathly,18/1/1996,SRB,183,R
aut050,Aube Toderi,14/4/1996,AUT,199,L
nor057,Dix Vernall,10/10/1997,NOR,201,L
slo043,Erna Clover,14/5/2002,SLO,179,L
cro047,Yolane Hackelton,5/2/1994,CRO,188,R
cmr058,Cordy Garaway,25/6/2003,CMR,209,L
kor041,Amandie Biggs,1/7/2004,KOR,178,L
srb055,Martie Duiguid,18/7/1990,SRB,173,R
den048,Nedi Jorioz,15/11/1994,DEN,203,L
chi047,Alex Cantle,22/3/2001,CHI,193,L
ger083,Arlana Casetti,4/8/1993,GER,210,R
kor042,Rebekah Wawer,5/7/1991,KOR,185,L
mar044,Haley Wynch,23/8/1999,MAR,200,R
egy046,Bekki Heathwood,21/5/1991,EGY,182,R
srb056,Cherri Lothlorien,6/1/1994,SRB,195,R
can054,Rollo Seivertsen,24/6/2004,CAN,171,R
mar045,Florina Bretland,10/11/2002,MAR,181,R
eng091,Cynthia Nickoles,27/2/1999,ENG,185,R
swe042,Lana Campe,6/5/1992,SWE,179,R
cro048,Vivien Berks,10/8/1993,CRO,182,R
fra066,Dulci Harower,7/1/1997,FRA,188,R
kor043,Dorey Ewdale,1/9/1995,KOR,197,L
slo044,Kelsy Pattlel,23/5/1997,SLO,205,R
sui040,Sholom Wendover,11/6/2002,SUI,170,R
swe043,Merrile Storrie,2/1/1996,SWE,184,R
ita046,Winona Braniff,5/2/1998,ITA,188,L
esp062,Shelli Greetland,10/7/2001,ESP,174,L
mne044,Hendrik Rottcher,12/8/2004,MNE,189,L
ukr049,Grace Burdge,28/1/2000,UKR,170,R
chi048,Richart Harkins,29/8/1994,CHI,210,L
sui041,Fiorenze Baelde,17/5/2000,SUI,204,R
pol037,Cornie Godspeede,11/11/1999,POL,196,L
hun039,Garry Goldbourn,27/8/2002,HUN,173,L
sui042,Phylis McCann,11/4/1994,SUI,189,R
sco056,Alica Garbutt,8/3/2000,SCO,175,R
wal042,Rafaela Layton,2/3/2001,WAL,194,R
cro049,Harlen Ennor,8/5/1997,CRO,170,R
pol038,Opalina Neenan,11/5/2003,POL,198,R
slo045,Garnette Asker,16/11/2004,SLO,207,R
jap058,Dorry Hawse,19/9/2000,JAP,207,R
egy047,Concordia Bartleman,7/1/1991,EGY,207,R
ukr050,Denise Bourgour,14/11/2002,UKR,191,L
ned051,Floyd Clemens,14/6/2002,NED,199,R
can055,Karlens Lampel,10/8/1997,CAN,206,L
mar046,Nowell Bischoff,20/5/1990,MAR,188,R
esp063,Kory McKee,23/11/1998,ESP,196,R
srb057,Curtice Peacop,21/6/2001,SRB,207,L
can056,Jayme Stocking,16/2/2003,CAN,174,R
ned052,Matthieu Gostall,10/4/2004,NED,191,R
